code,team,coach,off_coord,def_coord,stadium,owner,gm
crd,Arizona Cardinals,Jonathan Gannon,Drew Petzing,Nick Rallis,State Farm Stadium,Michael Bidwill,Monti Ossenfort
atl,Atlanta Falcons,Raheem Morris,Zac Robinson,Jimmy Lake,Mercedes-Benz Stadium,Arthur Blank,Terry Fontenot
rav,Baltimore Ravens,John Harbaugh,Todd Monken,Zach Orr,M&T Bank Stadium,Steve Bisciotti,Eric DeCosta
buf,Buffalo Bills,Sean McDermott,Joe Brady,Bobby Babich,Highmark Stadium,Terry Pegula,Brandon Beane
car,Carolina Panthers,Dave Canales,Brad Idzik,Ejiro Evero,Bank of America Stadium,David Tepper,Dan Morgan
chi,Chicago Bears,Matt Eberflus,Shane Waldron,Eric Washington,Soldier Field,Virginia Halas McCaskey,Ryan Poles
cin,Cincinnati Bengals,Zac Taylor,Dan Pitcher,Lou Anarumo,Paycor Stadium,Mike Brown,Duke Tobin
cle,Cleveland Browns,Kevin Stefanski,Ken Dorsey,Jim Schwartz,Huntington Bank Field,Jimmy Haslam III,Andrew Berry
dal,Dallas Cowboys,Mike McCarthy,Brian Schottenheimer,Mike Zimmer,AT&T Stadium,Jerry Jones,Jerry Jones
den,Denver Broncos,Sean Payton,Joe Lombardi,Vance Joseph,Empower Field at Mile High,Greg Penner,George Paton
det,Detroit Lions,Dan Campbell,Ben Johnson,Aaron Glenn,Ford Field,Sheila Ford Hamp,Brad Holmes
gnb,Green Bay Packers,Matt LaFleur,Adam Stenavich,Jeff Hafley,Lambeau Field,Mark Murphy,Brian Gutekunst
htx,Houston Texans,DeMeco Ryans,Bobby Slowik,Matt Burke,NRG Stadium,Cal McNair,Nick Caserio
clt,Indianapolis Colts,Shane Steichen,Jim Bob Cooter,Gus Bradley,Lucas Oil Stadium,Jim Irsay,Chris Ballard
jax,Jacksonville Jaguars,Doug Pederson,Press Taylor,Ryan Nielsen,EverBank Stadium,Shahid Khan,Trent Baalke
kan,Kansas City Chiefs,Andy Reid,Matt Nagy,Steve Spagnuolo,GEHA Field at Arrowhead Stadium,Clark Hunt,Brett Veach
rai,Las Vegas Raiders,Antonio Pierce,Luke Getsy,Patrick Graham,Allegiant Stadium,Mark Davis,Tom Telesco
sdg,Los Angeles Chargers,Jim Harbaugh,Greg Roman,Jesse Minter,SoFi Stadium,Dean Spanos,Joe Hortiz
ram,Los Angeles Rams,Sean McVay,Mike LaFleur,Chris Shula,SoFi Stadium,Stan Kroenke,Les Snead
mia,Miami Dolphins,Mike McDaniel,Frank Smith,Anthony Weaver,Hard Rock Stadium,Stephen Ross,Chris Grier
min,Minnesota Vikings,Kevin O'Connell,Wes Phillips,Brian Flores,U.S. Bank Stadium,Zygi Wilf,Kwesi Adofo-Mensah
nwe,New England Patriots,Jerod Mayo,Alex Van Pelt,DeMarcus Covington,Gillette Stadium,Robert Kraft,Eliot Wolf
nor,New Orleans Saints,Dennis Allen,Klint Kubiak,Joe Woods,Caesars Superdome,Gayle Benson,Mickey Loomis
nyg,New York Giants,Brian Daboll,Mike Kafka,Shane Bowen,MetLife Stadium,Steve Tisch,Joe Schoen
nyj,New York Jets,Robert Saleh,Nathaniel Hackett,Jeff Ulbrich,MetLife Stadium,Woody Johnson,Joe Douglas
phi,Philadelphia Eagles,Nick Sirianni,Kellen Moore,Vic Fangio,Lincoln Financial Field,Jeffrey Lurie,Howie Roseman
pit,Pittsburgh Steelers,Mike Tomlin,Arthur Smith,Teryl Austin,Acrisure Stadium,Art Rooney II,Omar Khan
sfo,San Francisco 49ers,Kyle Shanahan,Chris Foerster,Nick Sorensen,Levi's Stadium,Jed York,John Lynch
sea,Seattle Seahawks,Mike Macdonald,Ryan Grubb,Aden Durde,Lumen Field,Jody Allen,John Schneider
tam,Tampa Bay Buccaneers,Todd Bowles,Liam Coen,Larry Foote,Raymond James Stadium,Bryan Glazer,Jason Licht
oti,Tennessee Titans,Brian Callahan,Nick Holz,Dennard Wilson,Nissan Stadium,Amy Adams Strunk,Ran Carthon
was,Washington Commanders,Dan Quinn,Kliff Kingsbury,Joe Whitt,Northwest Stadium,Josh Harris,Adam Peters
